品牌ID,品牌名,类目,需要语言,直播间名称,优先级,状态
BRAND001,HISENSE,,Bahasa Indonesia,HISENSE TIKTOK OFFICIAL,1,启用
BRAND002,HISENSE,,Bahasa Indonesia,HISENSE SHOPEE,1,启用
BRAND003,HISENSE,,Bahasa Indonesia,HISENSE TIKTOK INDONESIA,1,启用
BRAND004,MAMYPOKO,,Bahasa Indonesia,Mamypoko Tidak Gembung (MPPT) Tiktok,1,启用
BRAND005,MAMYPOKO,,Bahasa Indonesia,Skin Comfort - Tiktok,1,启用
BRAND006,MAMYPOKO,,Bahasa Indonesia,Junior Night Pants (JNP) - Tiktok,1,启用
BRAND007,POSE,,Bahasa Indonesia,POSE,1,启用
BRAND008,INNISFREE,,Bahasa Indonesia,INNISFREE,1,启用
